Total Population,Total Households,Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
7112,3645,3645,49,393,717,919,765,1784,1807,54,3469,2651,818
5286,1660,1660,282,422,237,287,149,308,1352,0,1562,856,706
6314,2089,2089,313,1357,202,150,11,401,1688,0,1948,144,1804
5308,2037,2037,41,1078,351,461,48,1847,190,0,1892,1578,314
6269,2399,2399,139,945,1022,151,66,1568,707,124,2250,1242,1008
2856,1467,1467,312,871,144,58,34,352,1105,10,1454,455,999
6812,3557,3557,535,1018,448,410,243,478,3076,3,3287,630,2657
4894,1319,1319,0,17,74,1105,57,1263,56,0,1198,1004,194
2255,1119,1119,91,766,149,101,0,471,648,0,1101,578,523
2618,963,963,78,648,103,54,22,693,198,72,895,795,100
7580,2894,2894,151,1788,165,302,173,2536,327,31,2689,2129,560
3859,1450,1450,358,872,59,6,11,1256,190,4,1332,1103,229
2910,1471,1471,442,637,204,118,14,454,1008,9,1442,594,848
7345,2476,2476,520,1109,297,220,116,1248,1207,21,2393,1604,789
4808,2787,2787,351,720,913,264,345,196,2586,5,2772,994,1778
4489,1647,1647,1046,84,57,123,58,1436,211,0,1504,1334,170
6918,2724,2724,227,816,636,447,254,2611,37,76,2552,2246,306
90,18,18,0,1,0,0,0,0,0,18,1,0,1
6375,2367,2367,75,113,545,582,746,1453,912,2,2256,1911,345
3509,1931,1931,976,304,120,152,115,518,1399,14,1779,525,1254
2781,1087,1087,176,599,162,39,8,1066,21,0,1006,930,76
5548,2176,2176,21,727,372,410,313,1751,327,98,2051,1644,407
3798,1789,1789,210,1213,201,105,13,583,1201,5,1762,629,1133
5571,1740,1740,72,156,124,967,94,1500,209,31,1610,1317,293
4222,1785,1785,1295,230,63,20,56,1545,240,0,1689,1364,325
12982,3832,3832,0,0,25,686,1111,3821,11,0,3544,3300,244
4106,2146,2146,877,915,151,80,18,557,1574,15,2069,802,1267
8520,2952,2952,71,129,778,239,582,2725,227,0,2795,2271,524
7952,3620,3620,11,59,224,1776,761,0,3620,0,3326,2254,1072
1448,484,484,78,123,74,86,48,479,0,5,473,461,12
9497,2314,2314,9,7,25,342,303,2158,156,0,2056,1798,258
3708,1557,1557,586,567,136,92,36,1394,133,30,1493,1366,127
1930,711,711,168,208,107,72,11,603,35,73,672,563,109
3874,1579,1579,513,680,156,98,60,352,1227,0,1475,355,1120
6469,2624,2624,206,1240,471,289,44,1269,1351,4,2494,1697,797
5026,1471,1471,14,176,811,384,31,1266,205,0,1347,1183,164
26645,7288,7288,3,21,10,18,489,5332,1956,0,6574,5573,1001
2277,1013,1013,153,734,79,25,10,437,576,0,1004,447,557
4928,2367,2367,520,1180,241,159,50,1197,1156,14,2355,1322,1033
5076,1675,1675,0,18,525,745,323,1664,11,0,1568,1481,87
3977,1275,1275,256,684,122,72,30,312,963,0,1158,382,776
4085,1701,1701,820,615,119,33,39,454,1232,15,1632,751,881
100,53,53,0,16,20,0,0,13,0,40,48,34,14
3403,950,950,0,16,267,131,140,939,11,0,885,842,43
53,16,16,0,5,10,1,0,13,0,3,15,3,11
8531,3431,3431,127,489,939,814,321,2615,791,25,3284,2905,379
2698,1045,1045,15,741,187,46,19,735,310,0,1011,670,341
4749,2410,2410,1507,579,111,69,46,920,1467,23,2364,1153,1211
4323,2639,2639,1458,804,161,90,13,462,2173,4,2455,485,1970
3656,1224,1224,539,601,24,19,0,1010,209,5,1186,1003,183
6942,3008,3008,729,1133,479,353,42,553,2415,40,2802,948,1854
8502,2589,2589,290,340,35,531,800,2579,10,0,2478,2414,64
803,286,286,107,95,32,23,0,286,0,0,266,243,23
6034,2199,2199,151,579,529,508,183,2166,30,3,2141,2065,76
5007,2421,2421,928,977,120,62,43,638,1783,0,2269,922,1347
5683,2326,2326,561,1115,242,209,50,1585,741,0,2177,1378,799
4282,2206,2206,1309,498,126,87,17,196,2005,5,2095,708,1387
5064,2585,2585,2100,302,72,16,16,1447,1129,9,2421,1383,1038
2371,877,877,31,567,113,30,28,447,430,0,766,283,483
7123,2898,2898,562,923,366,364,286,654,2240,4,2592,634,1958
10346,4018,4018,117,622,356,808,485,1688,2171,159,3897,2816,1081
8941,3469,3469,107,1178,913,503,319,2403,1062,4,3294,2122,1172
2053,1233,1233,121,504,176,83,145,6,1227,0,1119,227,892
3892,1235,1235,229,775,110,98,0,514,721,0,1164,442,722
6172,1929,1929,14,141,448,513,687,1298,631,0,1768,1084,684
8842,3192,3192,74,165,320,411,584,3032,159,1,2929,2593,336
5497,1958,1958,122,574,273,377,227,718,1207,33,1827,956,871
3092,1300,1300,793,374,78,10,3,802,494,4,1256,818,438
6027,2297,2297,221,412,155,679,500,1964,333,0,2219,1799,420
2786,1031,1031,240,532,74,28,22,892,135,4,920,670,250
2174,1420,1420,939,292,101,39,0,26,1375,19,1360,268,1092
4019,1830,1830,254,288,308,429,196,647,1175,8,1759,1194,565
3664,1237,1237,14,718,417,19,55,1237,0,0,1215,1192,23
4286,1364,1364,3,22,76,1084,141,1362,2,0,1294,1152,142
6987,3448,3448,944,696,253,172,189,845,2598,5,3082,1337,1745
5857,2098,2098,121,1452,403,81,17,1508,590,0,2036,1245,791
4367,1772,1772,809,522,167,53,15,1068,701,3,1631,771,860
5915,2926,2926,1459,736,457,116,36,794,2103,29,2809,1443,1366
4795,2449,2449,380,881,510,350,91,589,1860,0,2346,1118,1228
4495,1644,1644,650,544,109,95,30,1106,538,0,1527,1038,489
5117,1588,1588,0,33,37,1245,200,1540,48,0,1436,1360,76
9204,3466,3466,33,253,440,704,876,2365,1100,1,3203,2610,593
1266,466,466,9,103,88,169,73,402,55,9,468,393,75
4500,1817,1817,20,154,939,417,86,1245,467,105,1693,1404,289
4877,1503,1503,122,112,110,482,392,1498,5,0,1389,1184,205
3559,1935,1935,158,666,562,483,25,5,1930,0,1829,912,917
5781,2500,2500,29,616,441,332,464,1369,1127,4,2271,1138,1133
6177,2490,2490,1010,522,301,235,141,1234,1256,0,2347,1521,826
14776,8254,8254,400,543,1387,891,398,731,7518,5,7726,4196,3530
4591,1896,1896,83,1050,308,109,147,1443,448,5,1766,1565,201
6786,2787,2787,445,947,214,357,141,1724,1051,12,2668,1666,1002
2078,949,949,255,394,119,106,24,544,405,0,910,517,393
4536,1702,1702,244,255,377,457,257,1443,259,0,1650,1387,263
5397,1868,1868,1315,355,91,50,12,1248,615,5,1816,1024,792
7468,2082,2082,0,39,600,1123,125,1879,199,4,1906,1525,381
888,309,309,15,273,10,0,0,304,5,0,305,270,35
4921,2111,2111,631,509,500,242,62,822,1284,5,2056,983,1073
3717,1900,1900,665,566,263,229,57,77,1809,14,1820,348,1472
6474,3144,3144,1385,1008,172,149,58,31,3113,0,2960,522,2438
3768,1449,1449,3,68,293,712,69,1063,386,0,1368,1186,182
4371,1719,1719,54,886,636,105,19,1480,234,5,1696,1280,416
6173,2113,2113,77,1351,428,71,35,1647,463,3,2050,1810,240
28,4,4,0,1,1,0,0,4,0,0,3,3,0
6748,3245,3245,1675,847,280,114,69,1671,1574,0,2912,1581,1331
3984,1596,1596,323,959,72,152,8,1395,201,0,1508,1436,72
7177,2028,2028,12,0,15,105,1358,1643,385,0,1846,1403,443
1117,409,409,133,119,47,77,0,341,5,63,397,346,51
8339,2713,2713,125,73,85,716,630,2117,595,1,2535,2332,203
3199,1049,1049,40,814,151,8,0,970,79,0,1000,925,75
4115,1486,1486,4,186,136,608,155,878,368,240,1372,1288,84
6619,2395,2395,64,1022,260,245,454,1994,401,0,2268,1866,402
11155,3063,3063,0,0,0,47,1276,3058,5,0,2914,2768,146
4558,1846,1846,58,414,441,516,123,1482,360,4,1759,1632,127
2536,1337,1337,713,298,87,118,82,527,773,37,1277,426,851
7389,2583,2583,288,1145,522,416,76,2364,215,4,2385,2181,204
6674,2246,2246,238,1118,235,491,44,1495,751,0,2129,1627,502
4242,1811,1811,1072,381,109,103,57,1509,284,18,1772,1350,422
6327,2061,2061,160,174,299,457,457,1693,368,0,1946,1585,361
9520,2137,2137,10,2,0,2,10,2114,23,0,1919,1737,182
5607,1967,1967,1695,149,27,27,0,1893,64,10,1842,1536,306
5366,1811,1811,43,995,492,145,38,1122,689,0,1662,996,666
10626,4482,4482,42,179,736,719,910,209,4272,1,4071,2635,1436
5334,1836,1836,310,1307,78,30,10,1777,59,0,1718,1641,77
5472,2038,2038,333,1355,186,89,9,1220,812,6,1868,1086,782
3685,1870,1870,1229,266,66,56,0,39,1796,35,1740,615,1125
2414,931,931,648,147,31,26,20,807,124,0,935,840,95
8337,3003,3003,73,566,374,456,147,2695,156,152,2836,2576,260
3511,2056,2056,1265,454,199,108,0,81,1962,13,2043,844,1199
3908,1038,1038,107,211,89,107,77,1026,7,5,891,824,67
2401,955,955,66,65,135,264,222,735,220,0,896,843,53
4232,2117,2117,599,1121,209,120,0,15,2102,0,2016,228,1788
2081,861,861,34,748,33,15,0,465,396,0,830,537,293
4024,1636,1636,806,497,205,70,0,840,796,0,1535,613,922
6586,3652,3652,662,2349,439,135,35,749,2903,0,3528,1040,2488
1164,393,393,111,168,52,36,10,299,85,9,393,281,112
4498,1950,1950,1090,543,62,19,73,1673,271,6,1812,1192,620
3540,1601,1601,209,593,288,204,60,1214,11,376,1515,1322,193
5315,1794,1794,35,703,509,130,15,1715,75,4,1671,1450,221
3922,1695,1695,16,397,458,573,95,1049,646,0,1644,1194,450
3905,1295,1295,101,1013,101,31,19,868,427,0,1246,753,493
2097,1130,1130,785,251,43,32,0,414,711,5,1055,438,617
6896,2450,2450,0,45,62,394,354,2398,52,0,2307,2121,186
4752,1822,1822,225,1258,266,32,0,1187,635,0,1735,922,813
2879,1142,1142,272,203,118,110,87,748,369,25,1012,696,316
1713,579,579,301,76,12,57,33,564,15,0,573,544,29
3633,1325,1325,41,935,142,52,68,1241,84,0,1268,1161,107
3212,1115,1115,33,145,515,160,73,1110,5,0,1056,1043,13
9016,2588,2588,0,17,20,169,1217,2181,407,0,2395,2012,383
6785,3012,3012,1290,559,536,184,198,1557,1455,0,2837,2138,699
3734,1317,1317,22,707,74,43,38,1312,5,0,1257,1196,61
7697,1876,1876,2,9,36,1030,636,1472,404,0,1791,1444,347
5249,2629,2629,0,3,45,985,823,0,2629,0,2448,1366,1082
3042,1041,1041,9,169,284,178,136,956,85,0,953,891,62
7046,3200,3200,53,1103,1131,390,73,409,2791,0,3000,1715,1285
4834,1867,1867,692,325,212,362,54,377,1486,4,1779,1047,732
4266,1792,1792,475,814,184,152,56,58,1711,23,1713,584,1129
2573,896,896,511,247,59,36,16,15,881,0,897,251,646
5352,1885,1885,30,1327,282,21,33,1869,16,0,1753,1359,394
31,17,17,5,6,2,1,1,17,0,0,15,9,6
5460,3752,3752,836,2123,369,150,14,11,3741,0,3509,475,3034
2972,1105,1105,953,73,26,20,4,670,429,6,1027,728,299
7037,2510,2510,99,842,284,390,143,2454,0,56,2023,1888,135
8375,2364,2364,10,3,0,30,749,2359,5,0,2238,2074,164
2686,1212,1212,837,228,87,18,0,792,420,0,1218,904,314
5683,2443,2443,169,1115,363,273,220,910,1533,0,2217,216,2001
4570,1682,1682,0,40,492,959,69,1514,167,1,1546,1485,61
540,261,261,107,90,29,13,8,248,9,4,251,228,23
7809,2246,2246,7,8,0,266,1225,2230,16,0,2078,1899,179
7423,2199,2199,31,180,678,642,234,1109,1090,0,2065,1570,495
4532,2959,2959,549,883,206,193,189,253,2700,6,2588,569,2019
6129,1958,1958,3,19,115,1478,275,1943,15,0,1827,1626,201
2008,938,938,13,457,149,46,56,29,0,909,846,743,103
9659,3551,3551,183,409,243,739,339,3064,479,8,3317,2856,461
3285,1472,1472,1266,119,37,41,0,1178,293,1,1440,1030,410
4198,2105,2105,87,1105,348,149,113,899,1090,116,1975,1095,880
9548,3387,3387,0,29,279,832,497,3007,380,0,3048,2696,352
4503,1758,1758,49,1033,486,112,17,800,958,0,1730,928,802
8932,3000,3000,305,574,463,430,74,2828,166,6,2826,2372,454
4003,1253,1253,15,268,528,333,49,1216,37,0,1186,1148,38
5463,2000,2000,0,228,399,612,243,1752,243,5,1714,1622,92
4500,1477,1477,32,69,653,237,154,1127,338,12,1384,1284,100
8011,4273,4273,883,1507,394,643,133,420,3853,0,3805,1004,2801
2681,1054,1054,196,326,144,166,81,668,86,300,996,863,133
5354,1722,1722,21,1038,198,400,3,1553,169,0,1565,1467,98
14566,6007,6007,306,1846,468,390,172,3440,2567,0,5329,3376,1953
7369,2919,2919,758,790,579,214,55,2550,341,28,2711,2210,501
11948,3909,3909,235,421,454,579,570,3818,87,4,3660,3197,463
6461,2133,2133,7,58,183,1017,373,1928,205,0,2043,1604,439
3408,1706,1706,1252,296,54,55,7,70,1632,4,1621,486,1135
6926,2306,2306,409,699,314,359,136,578,1678,50,2155,1170,985
2310,956,956,610,275,13,47,0,879,77,0,924,782,142
2797,1270,1270,681,250,71,51,9,565,699,6,1181,628,553
4863,1784,1784,19,93,1171,266,8,1532,252,0,1664,1530,134
4845,2313,2313,396,641,580,341,66,1086,1221,6,2194,1313,881
4944,2846,2846,1507,752,313,147,52,143,2671,32,2818,897,1921
4217,2163,2163,639,896,232,153,22,12,2151,0,1962,279,1683
5478,2482,2482,16,141,673,1263,274,743,1739,0,2419,1792,627
6365,1889,1889,259,468,251,239,73,1884,0,5,1721,1226,495
3115,1031,1031,425,260,92,113,43,1021,5,5,992,831,161
3297,1664,1664,905,449,85,94,67,273,1302,89,1603,594,1009
5103,2180,2180,106,1315,220,104,46,1179,1001,0,2064,910,1154
3950,1431,1431,116,190,252,481,216,1365,55,11,1300,1235,65
3528,1108,1108,37,93,34,47,550,1103,5,0,1044,997,47
3412,1084,1084,25,219,492,189,59,1024,60,0,1020,942,78
4765,1631,1631,411,406,67,224,339,1506,118,7,1527,1359,168
5937,2652,2652,1621,581,140,134,84,1555,1089,8,2609,1447,1162
5383,2032,2032,676,762,446,66,14,893,1045,94,1882,1012,870
120,52,52,0,0,0,19,13,52,0,0,48,45,0
3464,1356,1356,208,448,167,200,107,1224,37,95,1292,1181,111
4156,2306,2306,662,840,247,96,95,511,1790,5,2130,793,1337
5285,2015,2015,641,821,184,115,80,1605,405,5,1938,1254,684
1682,936,936,712,158,33,17,0,0,936,0,873,219,654
2400,1152,1152,930,145,26,34,3,311,841,0,1108,419,689
3876,1086,1086,14,532,434,50,14,972,114,0,1053,929,124
6981,2744,2744,396,489,294,243,641,2677,67,0,2509,2347,162
5,3,3,2,1,0,0,0,0,3,0,3,0,3
1587,601,601,69,205,102,144,19,468,5,128,598,506,92
5226,1377,1377,26,554,618,147,3,1155,206,16,1282,1126,156
5769,1765,1765,0,16,48,788,766,1755,10,0,1659,1537,122
2023,1095,1095,95,283,211,36,14,118,977,0,884,265,619
2799,1024,1024,373,475,126,18,0,846,178,0,933,694,239
4065,1665,1665,8,287,839,463,13,444,1221,0,1608,1094,514
5500,2146,2146,132,1040,221,62,25,1708,438,0,2071,1688,383
2203,1297,1297,810,160,63,46,39,11,1255,31,1220,360,860
3867,1062,1062,21,110,598,167,62,989,73,0,966,878,88
4524,2073,2073,563,411,349,406,83,1136,937,0,1947,1131,816
3202,1132,1132,95,323,187,189,116,1084,0,48,1060,977,83
3215,1037,1037,333,292,64,121,57,963,55,19,979,744,235
3904,1702,1702,122,1270,202,41,10,425,1277,0,1563,964,599
6444,2653,2653,91,1286,439,482,81,1857,791,5,2562,1898,664
1870,640,640,62,494,19,29,28,541,95,4,628,404,224
2586,1661,1661,645,277,153,138,133,66,1591,4,1499,250,1249
6539,3144,3144,1605,897,194,129,45,2303,830,11,2805,1740,1065
155,72,72,35,16,0,11,3,53,15,4,67,55,12
12152,2799,2799,35,206,245,160,844,2745,54,0,2414,2315,99
4237,1748,1748,249,1186,180,81,17,36,1684,28,1706,321,1385
3793,1012,1012,0,9,8,311,576,989,23,0,911,843,68
6090,2731,2731,1795,554,111,70,33,2277,454,0,2551,1844,707
844,396,396,210,70,56,19,0,228,164,4,345,143,202
3990,1473,1473,267,203,66,117,514,530,943,0,1387,933,454
5649,2470,2470,743,1046,229,152,90,1784,681,5,2264,1539,725
8635,3403,3403,212,924,376,561,192,2523,766,114,3222,2641,581
4099,1631,1631,131,1258,162,35,14,132,1499,0,1564,477,1087
4377,2033,2033,771,743,202,123,47,122,1901,10,1921,421,1500
3296,1787,1787,953,392,115,73,20,787,1000,0,1685,850,835
4029,1540,1540,427,569,313,112,13,264,1272,4,1450,445,1005
6263,2430,2430,51,102,235,1520,111,1713,698,19,2221,1945,276
4018,1358,1358,425,254,77,167,73,744,608,6,1237,986,251
4809,2306,2306,194,1156,455,88,24,1123,1177,6,2192,1290,902
5299,2194,2194,1630,337,67,69,35,897,1267,30,2048,1096,952
4438,1757,1757,470,960,168,105,6,567,1180,10,1655,603,1052
5927,3438,3438,432,120,253,679,799,358,3080,0,3147,1933,1214
1479,423,423,49,127,52,95,25,353,70,0,425,390,35
110,48,48,11,21,10,3,2,48,0,0,49,29,20
4774,1938,1938,1235,518,71,46,37,992,931,15,1864,822,1042
4567,1850,1850,568,641,167,231,48,1667,101,82,1788,1619,169
3263,1676,1676,1062,455,67,49,18,792,884,0,1640,658,982
3374,1350,1350,190,690,150,184,87,1069,281,0,1276,940,336
8797,2899,2899,240,568,515,460,586,2523,368,8,2790,2149,641
4070,2068,2068,1180,620,109,82,13,5,2063,0,1949,232,1717
656,342,342,54,172,102,10,0,5,337,0,353,74,279
5322,1876,1876,41,1277,379,96,13,1308,568,0,1739,1224,515
2316,922,922,250,236,188,135,39,839,83,0,870,775,95
1088,469,469,132,147,46,45,16,446,0,23,449,434,15
6382,1437,1437,0,0,0,83,610,1339,98,0,1281,1193,88
515,200,200,72,97,13,9,0,176,24,0,205,142,63
4842,2906,2906,918,717,168,531,89,817,2076,13,2795,1170,1625
2620,714,714,34,72,150,403,3,714,0,0,683,629,54
3565,1162,1162,0,27,518,508,56,1154,8,0,1072,1021,51
5776,2622,2622,2016,383,72,7,35,1359,1263,0,2424,1628,796
2622,1289,1289,339,687,98,52,42,478,806,5,1278,533,745
2306,961,961,628,220,35,32,10,490,466,5,924,573,351
3294,1551,1551,1201,173,65,32,12,10,1536,5,1457,491,966
2456,995,995,0,17,0,0,18,337,658,0,840,487,353
6438,2408,2408,574,1328,338,103,3,2023,385,0,2274,1774,500
3642,1724,1724,274,307,152,323,252,1631,89,4,1659,1497,162
6652,2516,2516,1116,836,211,192,64,10,2501,5,2393,282,2111
5862,1935,1935,15,24,392,1004,438,1783,152,0,1830,1692,138
4495,2432,2432,55,545,823,536,76,400,2027,5,2312,481,1831
7407,1598,1598,0,0,0,33,629,1464,134,0,1475,1375,100
6567,3003,3003,753,1341,377,210,115,622,2377,4,2882,1022,1860
6097,1962,1962,396,342,824,161,18,1853,109,0,1826,1715,111
857,389,389,144,62,40,25,56,40,349,0,341,126,215
4495,1940,1940,1523,223,51,47,20,1461,473,6,1858,1466,392
466,287,287,9,101,148,19,9,14,10,263,285,272,10
6559,2869,2869,1229,604,119,221,292,947,1922,0,2718,1591,1127
2778,1066,1066,173,767,89,25,0,81,980,5,1069,260,809
6655,2052,2052,378,1480,102,37,2,0,2051,1,1923,0,1923
20,8,8,1,1,0,0,0,8,0,0,2,1,1
8117,2424,2424,255,921,513,604,33,10,2414,0,2270,880,1390
3475,1135,1135,77,116,130,170,78,1079,23,33,1047,876,171
5996,2736,2736,896,1445,182,123,42,1489,1243,4,2638,1514,1124
11588,3215,3215,0,0,0,18,80,3188,27,0,3070,2799,271
6835,2566,2566,501,459,564,308,144,1126,1440,0,2366,1360,1006
5563,1389,1389,0,0,9,559,725,1334,55,0,1277,1176,101
6185,2570,2570,162,177,681,500,584,575,1984,11,2406,1468,938
3460,1078,1078,18,205,567,221,13,1068,10,0,989,847,142
7054,3177,3177,2063,463,211,260,43,1703,1470,4,3000,1990,1010
3130,1094,1094,243,612,159,41,10,216,878,0,1073,484,589
1652,810,810,604,152,8,19,0,15,789,6,779,232,547
4910,1751,1751,51,228,866,351,83,989,762,0,1621,980,641
5545,2632,2632,1250,594,161,80,32,203,2414,15,2500,797,1703
6969,3722,3722,965,813,328,255,121,428,3290,4,3424,828,2596
4562,2017,2017,109,357,340,216,318,1921,86,10,1906,1746,160
4379,2224,2224,397,1266,315,93,22,202,2017,5,2144,362,1782
8038,4369,4369,800,1054,591,506,317,938,3426,5,4162,2118,2044
6952,2350,2350,254,509,423,730,102,1897,448,5,2227,1895,332
2021,783,783,63,209,226,129,17,636,141,6,751,690,61
4241,1617,1617,36,733,560,209,21,1606,11,0,1516,1193,323
4762,2542,2542,777,1265,222,148,76,457,2080,5,2366,724,1642
6118,2747,2747,88,1686,405,330,32,1860,884,3,2496,1905,591
2817,1365,1365,753,323,29,45,35,739,594,32,1321,943,378
4658,2437,2437,1342,775,157,72,27,1243,1190,4,2421,1312,1109
199,64,64,0,32,14,12,0,55,0,9,60,32,9
3104,1718,1718,799,575,186,114,25,152,1561,5,1687,291,1396
1322,501,501,360,101,3,11,0,481,20,0,493,421,72
4288,1379,1379,227,553,408,91,19,1143,236,0,1358,1201,157
7182,2404,2404,50,1726,301,107,57,1881,518,5,2259,1622,637
