Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
6265,3043,30837.34,3043,176,1351,529,367,171,546,2492,5,2901,579,2322
2762,1135,91572.35,1135,197,569,205,103,19,1001,129,5,1121,983,138
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2584,1304,40425.55,1304,352,192,86,63,18,6,1298,0,1185,420,765
5588,1915,64289.44,1915,442,482,268,319,106,409,1496,10,1784,1017,767
4351,1547,85174.04,1547,310,496,172,238,56,1001,546,0,1434,1247,187
6239,2933,48484.61,2933,1695,966,118,75,6,453,2480,0,2724,765,1959
2320,1284,45147.19,1284,672,184,109,37,109,0,1284,0,1187,374,813
4445,2154,53041.9,2154,1236,629,140,80,8,191,1928,35,2100,745,1355
6469,2938,51547.52,2938,1604,397,161,195,162,539,2298,101,2712,1438,1274
3729,1360,90000,1360,903,190,30,48,47,1171,184,5,1274,1142,132
7458,2735,97102.33,2735,1307,611,105,384,228,2683,48,4,2652,2481,171
1371,522,104367.95,522,60,288,50,14,27,472,27,23,502,388,114
8930,3751,73438.16,3751,99,1604,766,193,65,1868,1879,4,3575,2668,907
3994,1711,68125.51,1711,722,479,49,10,56,878,833,0,1608,758,850
7189,1885,94302.63,1885,12,18,0,244,1343,1764,118,3,1701,1533,168
6286,3785,49134.82,3785,238,1407,402,308,464,51,3734,0,3290,1001,2289
3161,1127,103006.09,1127,10,807,207,37,10,1056,71,0,1065,852,213
1887,754,60000,754,84,176,125,156,45,632,24,98,731,683,48
3930,1570,60611.2,1570,321,998,120,30,15,1171,394,5,1547,1111,436
1870,1038,42220.08,1038,391,362,75,76,68,153,880,5,987,336,651
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3498,1892,37613.16,1892,981,706,111,34,9,151,1741,0,1747,211,1536
5841,2837,54135.05,2837,1367,381,199,322,200,1054,1783,0,2705,996,1709
9699,3371,103626.75,3371,0,21,13,250,516,3138,232,1,3058,2655,403
3214,1331,60446.84,1331,727,326,141,68,16,476,850,5,1289,632,657
7493,3228,43629.11,3228,200,1217,727,490,107,807,2420,1,3083,1473,1610
1157,422,40572.07,422,16,95,76,94,81,422,0,0,411,325,40
6443,1612,93182.7,1612,3,67,749,691,57,1090,522,0,1530,1307,223
3343,1920,36358.34,1920,811,608,178,103,54,11,1898,11,1798,379,1419
6633,2815,54653.6,2815,209,1280,716,251,109,1657,1158,0,2675,1046,1629
5249,2063,66118.03,2063,331,301,308,186,133,572,1491,0,1928,1116,812
6826,2254,82169.67,2254,149,1748,189,70,27,1911,343,0,2058,1659,399
5449,1574,110808.46,1574,0,0,152,1245,82,1558,16,0,1431,1335,96
6546,2498,95978.44,2498,166,631,499,597,216,2448,9,41,2341,2225,116
6119,2789,96554.15,2789,759,504,276,457,194,1620,1160,9,2524,1502,1022
1923,872,20149.06,872,63,65,71,55,176,0,872,0,731,263,468
3781,1690,72030.58,1690,900,400,68,58,49,1215,470,5,1568,871,697
2196,1272,39061.57,1272,520,299,194,84,74,48,1224,0,1189,312,877
2961,1306,40202.21,1306,518,454,123,35,28,625,681,0,1182,504,678
5118,1918,77595.09,1918,442,779,215,182,55,1694,220,4,1857,1651,206
4803,1509,234595.11,1509,26,235,209,556,193,1500,4,5,1395,1320,75
6215,2161,112546.02,2161,11,1178,537,34,178,1969,192,0,1985,1855,130
5825,2692,65797.88,2692,281,1385,163,197,174,1404,1283,5,2582,1718,864
9164,3734,97814.75,3734,25,106,51,51,332,1905,1824,5,3470,2432,1038
5965,2395,60327.21,2395,901,335,137,250,158,1355,1008,32,2203,1351,852
5189,1701,57275.1,1701,916,291,45,26,20,1276,421,4,1528,1151,377
5475,1929,96777.94,1929,185,812,247,136,192,1654,273,2,1799,1554,245
8249,3150,98124.15,3150,34,526,376,759,540,2702,252,196,3036,2770,266
6704,2624,82123.32,2624,179,525,551,213,94,1945,670,9,2449,1760,689
6083,2402,73058.76,2402,173,873,397,296,171,2216,111,75,2290,2010,280
9463,4461,79217.35,4461,312,269,429,460,849,612,3837,12,4249,3100,1149
4877,1924,63328.7,1924,453,614,169,205,289,878,1046,0,1829,770,1059
135,68,56661.46,68,9,9,20,9,0,60,8,0,42,14,28
1815,775,50655.14,775,83,263,126,237,0,358,417,0,719,180,539
4930,1414,68539.16,1414,266,383,138,194,119,155,1254,5,1316,641,675
8111,2554,135578.16,2554,26,39,465,780,662,2264,290,0,2353,2172,181
1269,444,93218.93,444,138,100,69,12,18,414,0,30,407,384,23
7680,3050,66856.63,3050,752,1462,317,205,142,2136,896,18,2875,2046,829
6598,2336,74258.08,2336,546,598,320,367,201,1028,1308,0,2216,1255,961
6852,2717,80387,2717,296,601,290,205,453,1890,362,465,2490,2137,353
5513,2153,84020.7,2153,172,495,199,512,580,1549,577,27,2034,1430,604
868,389,50367.37,389,0,16,22,174,61,364,0,25,380,355,15
5977,2366,34142.04,2366,553,1217,246,128,16,1036,1309,21,2217,994,1223
6147,1838,36439.22,1838,270,1219,196,78,16,428,1410,0,1718,642,1076
4503,1652,56043.62,1652,139,175,103,167,99,1377,275,0,1263,876,387
6575,2724,75386.92,2724,72,2386,137,32,9,2228,496,0,2537,2031,506
6204,2148,102228.24,2148,1478,407,86,67,11,1983,165,0,2021,1863,158
5916,2309,54670,2309,9,166,612,587,359,773,1530,6,2079,1127,952
6263,4209,59456.23,4209,325,2269,676,238,160,31,4178,0,3818,1383,2435
5267,1838,114166.23,1838,27,242,866,397,197,1707,131,0,1763,1621,142
4269,2219,59227.85,2219,1135,869,99,46,8,573,1630,16,2078,714,1364
3667,1379,53750.23,1379,110,988,125,72,37,1008,371,0,1318,587,731
6576,2331,91971.24,2331,36,973,857,335,15,2248,83,0,2161,1745,416
2686,1045,148268.91,1045,790,91,0,3,0,828,217,0,994,792,202
3935,1696,70291.57,1696,584,965,84,20,25,1152,539,5,1693,1202,491
3355,1283,89945.92,1283,330,204,140,168,147,1267,11,5,1205,1112,93
7189,2506,88319.43,2506,80,660,716,213,263,1965,541,0,2246,1881,365
4026,1095,93267.69,1095,12,78,651,220,16,952,143,0,957,881,76
2824,1032,88991.85,1032,35,235,451,134,76,1006,11,15,980,947,33
4573,2081,72399.52,2081,322,1119,405,119,15,1397,376,308,2077,1706,371
6806,2625,88135.53,2625,184,477,166,436,350,2234,244,147,2401,1998,403
1552,640,77728.89,640,22,575,26,11,0,549,91,0,624,512,112
5776,2056,100669.44,2056,200,919,148,569,40,1561,489,6,1931,1633,298
6484,2663,90457.48,2663,891,623,138,411,406,1658,1002,3,2492,1645,847
8708,3353,107449.44,3353,32,1351,252,333,414,2791,550,12,2938,2139,798
7112,2221,92272.99,2221,222,548,942,345,49,1637,584,0,2023,1540,483
4395,1561,140518.31,1561,521,715,74,42,44,1469,92,0,1463,1354,109
4611,2030,69928.95,2030,1181,601,89,86,30,1605,410,15,2016,1551,465
4933,1678,113045.42,1678,399,559,254,309,50,1616,40,22,1618,1453,165
2720,1201,49186.79,1201,17,605,204,122,128,596,605,0,1089,497,592
3592,1577,76040.98,1577,1471,48,16,3,3,819,753,5,1468,834,634
2496,1105,66903.06,1105,302,457,151,70,28,664,257,184,1100,572,528
6614,2534,48702.64,2534,290,1678,234,157,52,1301,1233,0,2376,857,1519
6643,3484,33945.7,3484,1458,1441,252,136,74,85,3399,0,3298,561,2737
4440,1688,86893.49,1688,479,1105,41,12,3,922,766,0,1584,967,617
6546,2243,109287.33,2243,11,497,277,148,379,2003,240,0,2072,1987,85
2376,904,108932.05,904,105,745,32,12,0,864,40,0,895,780,115
6469,2656,77826.52,2656,91,1511,630,195,54,2331,325,0,2599,1885,714
5490,2031,63663.54,2031,637,338,147,271,80,464,1562,5,1914,1262,652
1439,657,44851.3,657,508,119,15,5,0,5,652,0,639,245,394
5826,2123,91618.87,2123,50,905,993,55,51,1944,175,4,2094,1962,132
5160,2552,44714.05,2552,1110,954,223,140,32,556,1981,15,2440,763,1677
5627,1661,103560.59,1661,0,27,920,429,104,1568,93,0,1511,1468,43
5644,2360,88651.74,2360,939,1103,115,137,5,1520,837,3,2258,1398,860
6881,2334,72771.09,2334,244,1823,151,31,16,1745,589,0,2133,1592,541
4294,2175,46091.97,2175,521,1003,137,123,79,994,1178,3,2022,913,1109
4560,1916,74353.68,1916,101,577,428,346,86,1478,433,5,1837,1336,501
7437,2397,110438.17,2397,121,211,114,600,318,2353,5,39,2227,2042,185
3665,1438,111533.76,1438,14,139,627,494,133,1433,5,0,1418,1381,37
6062,3534,38744.44,3534,1471,1669,173,116,10,10,3523,1,3421,292,3129
1216,645,43407.44,645,470,82,21,22,11,73,572,0,625,169,456
3342,1699,50112.4,1699,1224,237,81,45,32,33,1651,15,1595,520,1075
2982,1221,72652.56,1221,856,256,56,26,0,1151,65,5,1140,967,173
6294,1693,110717.07,1693,0,134,1053,416,32,1351,342,0,1548,1346,202
5243,1785,94374.74,1785,21,50,118,533,421,1758,27,0,1649,1460,189
4741,1573,128290.49,1573,238,199,96,192,668,1503,70,0,1469,1414,55
3468,1333,101476.99,1333,91,381,208,418,46,1239,0,94,1324,1264,60
4543,2151,71236.84,2151,1099,653,171,101,16,1634,512,5,2127,1547,580
5657,1820,177787.17,1820,19,238,1104,289,88,1730,90,0,1688,1594,94
3462,1416,96907.69,1416,414,944,11,6,6,1411,5,0,1374,1309,65
4104,1699,73146.73,1699,20,462,609,341,171,1127,572,0,1599,1199,400
6536,2801,88120.81,2801,195,1445,569,158,38,1229,1572,0,2548,2015,533
7052,2470,66599.16,2470,456,722,339,379,183,395,2030,45,2310,1282,1028
4697,1638,83558.31,1638,21,688,392,320,128,1565,63,10,1563,1171,392
5270,2780,49427.73,2780,269,1403,355,152,124,665,2110,5,2667,774,1893
4047,1496,111247.53,1496,3,75,912,145,258,960,536,0,1410,1315,95
3879,1597,95110.83,1597,449,415,381,160,38,1237,360,0,1540,1270,270
9192,3707,74271.35,3707,300,206,290,626,1172,2047,1634,26,3359,2160,1199
13142,4541,104570.74,4541,150,651,567,494,317,4297,196,48,3855,3442,413
4537,1722,67033.96,1722,442,1083,110,55,0,776,946,0,1611,418,1193
3284,1418,79591.86,1418,934,255,24,19,64,1168,250,0,1297,1083,214
6644,2334,70859.99,2334,182,749,776,215,79,1811,514,9,2247,1828,419
1891,565,104121.08,565,25,0,0,0,0,565,0,0,19,19,0
5941,1699,104660.9,1699,0,15,67,51,990,1601,98,0,1556,1355,201
6339,2533,63267.78,2533,515,1465,183,146,85,1398,1135,0,2435,1135,1300
6583,2458,71168.14,2458,801,760,257,184,132,2147,167,144,2366,2072,294
9523,3209,122469.29,3209,9,3,9,127,1009,2730,479,0,2964,2549,415
2558,1155,53433.93,1155,740,268,31,63,21,875,271,9,1137,833,304
3941,1743,81420.83,1743,372,465,328,328,81,1042,694,7,1726,1178,548
6930,2617,82578.13,2617,150,1137,714,198,29,2079,538,0,2408,1999,409
4377,1922,61481.45,1922,146,885,321,158,135,991,931,0,1774,964,810
2588,1066,52018.71,1066,225,303,190,145,57,805,238,23,1012,745,267
4437,2190,57355.67,2190,6,33,119,1472,112,22,2168,0,2002,1603,399
5751,2167,43476.53,2167,749,972,169,178,36,521,1541,105,2029,557,1472
6087,2026,97259.9,2026,377,312,49,108,51,2004,22,0,1893,1756,137
3149,1484,76622.52,1484,847,494,52,48,0,1287,193,4,1434,1074,360
4721,2108,55764.77,2108,125,617,554,547,126,1521,484,103,2097,1298,799
7340,2678,93168.13,2678,66,645,571,600,275,2341,337,0,2603,2351,252
11687,3746,123534.34,3746,12,0,186,182,520,3414,332,0,3309,2973,336
3730,1254,101230.98,1254,11,577,544,97,3,1164,90,0,1204,1109,95
4809,1909,67980.43,1909,377,889,357,150,39,1022,887,0,1777,984,793
3262,1145,99423.84,1145,107,172,167,484,125,1131,14,0,1105,1037,68
2924,1295,79167.26,1295,58,578,393,218,38,941,349,5,1296,895,401
5879,1923,135277.09,1923,166,263,208,349,232,1828,91,4,1783,1649,134
4482,1646,82699.14,1646,97,543,217,541,129,1534,112,0,1494,1129,365
3111,1228,89096.87,1228,360,823,21,0,0,1090,135,3,1168,956,212
7584,3575,53993.46,3575,111,850,743,351,114,460,3111,4,3247,1418,1829
654,264,92486.77,264,30,50,64,71,14,245,15,4,255,145,26
2243,845,126702.91,845,141,285,131,144,33,824,21,0,812,756,56
4803,2329,48935.35,2329,1312,731,104,78,24,155,2123,51,2213,799,1414
3294,1304,74930.73,1304,427,771,46,32,3,1052,247,5,1257,921,336
5455,2080,70066.41,2080,470,1435,128,16,0,921,1154,5,2010,1677,333
6140,2687,53692.76,2687,62,1600,537,342,55,0,2687,0,2443,625,1818
3701,1676,78273.65,1676,244,619,381,238,64,853,819,4,1543,702,841
3137,1888,49292.57,1888,594,654,180,284,39,602,1277,9,1813,936,877
7269,4079,59822.32,4079,1656,1182,743,91,175,187,3883,9,3951,1685,2266
2697,972,75281.31,972,643,238,27,17,15,609,358,5,902,683,219
3519,1590,66358.93,1590,246,373,266,172,112,1048,415,127,1524,1199,325
5336,2114,110813.74,2114,1768,263,45,15,10,1371,738,5,2101,1551,550
5488,2342,55006.47,2342,415,898,231,238,329,1440,901,1,2255,1391,864
2193,1155,53475.94,1155,809,268,32,24,0,500,650,5,1132,531,601
7850,3924,78398.32,3924,841,286,368,1139,495,542,3382,0,3697,2233,1464
6336,2797,59226.39,2797,1913,541,121,57,14,1702,1074,21,2627,1698,929
2100,860,73419.5,860,821,36,0,0,0,609,251,0,837,633,204
4040,1266,56302.09,1266,254,927,51,10,9,1000,266,0,1224,1004,220
3669,1219,79379.81,1219,43,1036,105,28,0,775,444,0,1182,1038,144
5145,1433,85614.6,1433,21,242,839,221,46,1052,381,0,1300,1030,270
6625,2098,75826.21,2098,32,1507,370,87,18,1785,313,0,1947,1401,546
2945,1172,38770.25,1172,14,123,642,333,23,106,1066,0,1100,837,263
3566,1690,52400.93,1690,1003,471,72,43,45,1181,509,0,1586,988,598
3607,1474,88011.19,1474,170,246,266,380,254,889,585,0,1367,973,394
4449,1388,225658.14,1388,444,456,44,55,65,1344,44,0,1282,1218,64
1969,868,57947.25,868,578,205,48,24,0,250,613,5,874,322,552
9969,3731,112811.94,3731,10,297,1680,204,130,2731,1000,0,3391,2583,808
5002,1805,85307.41,1805,513,416,113,202,169,1604,193,8,1757,1531,226
4964,2070,71674.97,2070,1289,602,124,40,0,323,1728,19,2075,878,1197
2506,1228,50565.63,1228,508,437,157,90,0,480,748,0,1151,493,658
6792,2897,94681.09,2897,554,1321,503,315,75,1671,1166,60,2849,1687,1162
2770,1189,98131.87,1189,9,780,266,57,0,808,381,0,1105,800,305
3218,1637,39097.09,1637,1205,290,76,40,7,47,1585,5,1567,214,1353
3499,1412,87355.5,1412,33,12,68,414,321,856,556,0,1347,1093,254
6879,2229,116375.98,2229,166,316,313,718,390,1999,22,208,2152,2071,81
5617,2311,105510.59,2311,1427,414,147,122,60,1526,780,5,2236,1503,733
7340,2565,108592.24,2565,562,574,374,780,140,2554,11,0,2523,2304,219
4609,1707,104196.94,1707,275,731,421,95,51,1262,439,6,1584,1176,408
7536,2216,98177.93,2216,0,0,0,440,1124,2216,0,0,2045,1922,123
4080,1346,54868.94,1346,87,551,175,159,114,721,619,6,1238,489,749
3109,1251,59633.07,1251,445,629,87,51,10,855,392,4,1201,558,643
6212,2159,107914.75,2159,174,1357,226,150,47,1635,524,0,2049,1787,262
6411,1771,70331.92,1771,115,861,311,180,245,1067,674,30,1671,1145,526
4006,1466,102869.64,1466,37,1212,145,20,24,1279,187,0,1422,1368,54
6777,2359,42036.45,2359,1560,475,109,89,30,1844,510,5,2209,1210,999
6536,2721,72176.82,2721,876,776,852,134,12,58,2648,15,2617,1195,1422
2847,1050,76063.19,1050,139,720,96,59,18,705,326,19,1023,762,261
4896,1725,101551.98,1725,10,336,1218,87,0,1725,0,0,1609,1517,92
2355,1187,42750.68,1187,742,256,63,64,12,444,727,16,1079,365,714
10668,2645,112090.75,2645,54,26,8,43,120,2628,17,0,2384,2214,170
6985,4539,71145.78,4539,1085,2496,488,133,81,264,4275,0,4181,1405,2776
1977,945,71881.74,945,189,242,135,95,65,935,5,5,904,809,95
3708,1657,53677.83,1657,251,747,237,244,77,671,986,0,1610,855,755
4253,1936,46233.15,1936,1141,559,82,57,57,332,1599,5,1848,579,1269
7443,2361,121061.81,2361,0,15,3,289,1181,2219,142,0,2160,1955,205
4072,1790,54524.79,1790,484,792,238,41,37,326,1464,0,1708,622,1086
3850,1171,118581.87,1171,121,224,89,110,185,1129,37,5,1070,1000,70
4651,1812,80521.85,1812,35,1481,194,40,15,1325,410,77,1705,1305,400
4452,1683,89800.05,1683,49,432,567,361,158,1358,310,15,1643,1360,283
3897,2633,35045.91,2633,469,1542,387,136,33,30,2603,0,2544,402,2142
2576,1330,63725.12,1330,725,451,71,27,12,454,872,4,1260,398,862
2865,1023,99312.16,1023,362,270,178,88,23,984,31,8,985,870,115
3899,1897,49212.54,1897,876,708,182,51,23,993,899,5,1791,857,934
8908,2566,111680.28,2566,18,21,89,917,754,2503,63,0,2451,2043,408
1865,1096,46118.71,1096,588,285,40,121,23,32,1054,10,1028,309,719
5142,1235,88384.62,1235,2,12,3,14,935,1217,18,0,1144,1062,82
6177,2914,36862.96,2914,521,553,94,72,3,274,2640,0,2686,1225,1461
2969,1479,52406.16,1479,796,375,131,68,36,719,756,4,1436,602,834
6822,2533,106806.35,2533,386,508,809,644,133,2511,22,0,2492,2386,106
12878,3405,113173.64,3405,0,4,0,0,47,3243,162,0,3238,2955,283
2435,881,43364.14,881,334,410,72,15,11,75,801,5,836,263,573
1185,451,80970.96,451,78,39,97,150,51,451,0,0,446,405,41
3285,1900,56591.48,1900,681,393,254,60,8,379,1507,14,1741,723,1018
5965,2026,84686.51,2026,331,848,120,326,356,1881,145,0,1996,1558,438
4762,2064,33091.99,2064,312,1452,190,47,0,126,1938,0,1963,349,1614
1668,827,71648.99,827,620,86,73,24,13,30,778,19,804,335,469
4755,1600,83628.3,1600,24,195,1052,235,24,1501,99,0,1483,1176,307
5330,2803,43937.81,2803,1266,449,569,225,62,149,2649,5,2627,960,1667
2885,1157,66872.94,1157,461,302,163,82,42,951,200,6,1107,857,250
6073,2548,74298.42,2548,506,600,411,502,128,2291,48,209,2380,2095,285
2865,1326,77950.79,1326,985,198,46,53,3,818,502,6,1226,738,488
7187,4184,52134.47,4184,274,1245,675,1043,429,854,3307,23,4042,1898,2144
8705,2889,206661.4,2889,0,95,560,880,738,2086,221,582,2680,2180,500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5777,2214,94334.06,2214,81,1608,116,269,71,1911,303,0,2088,1649,439
6262,2803,76988.92,2803,127,862,711,406,126,1815,845,143,2683,1954,729
7066,3004,59555.33,3004,1041,636,145,148,239,635,2369,0,2826,1424,1402
4905,2062,66035.62,2062,646,1111,134,73,23,1312,750,0,2040,1226,814
7808,1909,115839.7,1909,0,0,0,18,435,1887,22,0,1797,1723,74
6215,2107,90189.02,2107,0,15,22,771,1013,1857,250,0,1956,1690,266
3825,1461,104916,1461,10,262,959,172,25,1104,357,0,1374,1254,120
12264,3868,111156.97,3868,9,36,128,1421,728,3284,584,0,3559,3273,286
3350,1240,73378.12,1240,141,225,128,119,103,1218,9,13,1155,1074,81
7159,2480,63840.79,2480,428,550,252,585,186,554,1921,5,2291,1415,876
6391,1776,136240.85,1776,10,51,1172,485,30,1720,56,0,1711,1628,83
4188,1882,47060.89,1882,328,1134,155,151,44,1063,814,5,1771,673,1098
2831,1313,49820.65,1313,70,446,203,313,27,516,797,0,1182,514,668
4177,2046,60231.71,2046,1356,213,74,228,68,1126,915,5,1950,1065,885
3064,1285,99938.89,1285,33,359,197,233,138,1077,208,0,1240,1090,150
3541,2043,38000.1,2043,1153,550,118,94,34,285,1707,51,1988,359,1629
2287,867,85524.84,867,723,61,15,17,11,582,285,0,850,652,198
2362,1037,56576.77,1037,872,125,16,3,0,96,941,0,973,344,629
8007,3185,82997.42,3185,952,649,457,463,245,1148,2026,11,3011,2030,981
5105,2163,48805.13,2163,1187,574,92,45,49,1589,571,3,1893,1226,667
4885,2417,49180.8,2417,161,661,488,454,99,634,1783,0,2284,1353,931
4148,2143,54738.78,2143,1029,405,165,173,86,711,1405,27,1942,626,1316
5964,2314,66327.46,2314,41,730,1053,226,96,1179,1135,0,2227,1471,756
5693,1691,62371.94,1691,152,1185,166,89,42,518,1170,3,1549,702,847
5769,1589,87759.14,1589,3,61,117,1195,144,1350,239,0,1449,1159,290
4249,1722,65173.2,1722,480,297,573,191,45,1196,511,15,1654,1227,427
8825,2818,116235.4,2818,152,172,333,417,907,2628,190,0,2563,2237,326
8280,2793,102833.13,2793,84,110,301,1116,160,2667,88,38,2524,2298,226
4509,1580,125195.62,1580,253,621,207,244,83,1537,0,43,1485,1337,148
4227,2047,48460.75,2047,87,1327,369,153,27,1069,974,4,2017,876,1141
1687,984,50271.76,984,487,206,83,100,30,17,962,5,918,287,631
3168,1454,54468.92,1454,1085,218,42,43,36,824,622,8,1395,683,712
4954,1838,106644.04,1838,38,889,499,199,155,1534,304,0,1712,1566,146
3894,1975,48891.22,1975,1108,473,86,57,71,175,1789,11,1871,668,1203
5562,2591,59651.42,2591,397,1764,202,106,10,1210,1377,4,2428,1082,1346
10336,3415,103225.58,3415,165,254,67,53,139,3367,48,0,3150,2951,199
4573,1575,112098.72,1575,2,75,1172,215,25,1199,376,0,1461,1278,183
7236,2863,79416.97,2863,1252,662,148,47,181,2079,780,4,2678,1659,1019
7191,3131,65124.12,3131,837,880,267,466,89,2628,503,0,2936,2044,892
3336,1530,76557.55,1530,949,234,116,84,36,1165,361,4,1401,938,463
5902,2135,75249.07,2135,85,755,305,483,171,1326,804,5,2039,1419,620
5604,2041,96160.91,2041,102,310,355,502,250,1784,254,3,1939,1689,250
4916,1912,80083.16,1912,9,314,616,815,52,975,937,0,1812,1388,424
6980,2556,41913.5,2556,250,1376,229,260,96,0,2552,4,2429,800,1629
4562,1704,91939.52,1704,62,636,367,461,101,1516,184,4,1668,1519,149
3859,1663,75512.7,1663,365,344,195,181,72,1204,391,68,1550,1335,215
7937,3653,69129.86,3653,472,1101,795,443,128,2104,1540,9,3513,2115,1398
3659,1474,66285.37,1474,57,1175,82,80,33,1072,397,5,1397,903,494
5606,2523,68115.6,2523,170,784,370,581,173,1908,524,91,2458,2111,347
6530,2168,58539.01,2168,144,1692,149,100,26,1072,1096,0,2037,1293,744
3451,1218,105404.67,1218,38,55,504,410,71,1104,114,0,1129,1044,85
4567,2080,69366.56,2080,249,1348,131,139,42,1584,496,0,2137,1545,592
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7474,3609,37478.96,3609,1629,1131,169,253,158,151,3447,11,3436,840,2596
3707,1631,75724.13,1631,137,1190,136,119,7,1379,248,4,1568,1271,297
7480,2210,104187.11,2210,28,54,391,371,37,2104,106,0,1988,1802,186
4269,2025,54238.56,2025,834,864,158,85,50,1214,811,0,2022,946,1076
6232,2580,78245.81,2580,582,1513,182,160,30,1902,678,0,2428,1785,643
5082,1977,66058.43,1977,55,983,476,202,112,838,1139,0,1804,662,1142
9642,2792,74466.71,2792,34,50,145,515,1021,2482,310,0,2473,2159,314
2738,1698,42153.2,1698,639,415,112,50,159,17,1681,0,1551,453,1098
3524,1467,74961.54,1467,212,278,270,387,91,1018,444,5,1435,1115,320
7618,3144,107121.93,3144,172,794,346,1460,238,2630,507,7,3053,2648,405
8583,2882,116351.66,2882,25,78,380,695,565,2665,217,0,2663,2305,358
4826,1546,107900.36,1546,22,490,872,118,0,1472,74,0,1416,1355,61
5068,1278,53894.62,1278,18,118,848,240,7,577,701,0,1179,954,225
5417,1804,39429.28,1804,325,1053,234,56,44,191,1613,0,1676,353,1323
4005,1642,108506.17,1642,79,335,627,469,50,1254,384,4,1611,1460,151
3785,1892,53626.69,1892,604,372,292,223,88,717,1170,5,1759,909,850
8155,2902,90000,2902,218,778,308,299,296,2541,351,10,2784,2587,197
6956,2080,68371.78,2080,1252,640,42,34,21,1335,745,0,1946,1443,503
2065,849,36858.02,849,12,242,187,151,27,242,607,0,775,315,460
3918,1209,88743.72,1209,96,377,203,174,69,1145,54,10,1128,1059,69
4502,1522,85596.35,1522,47,1269,101,53,15,1388,134,0,1393,1249,144
4416,1318,144359.63,1318,691,145,85,92,52,900,418,0,1220,892,328
4223,2159,58206.14,2159,317,328,733,406,171,334,1785,40,2048,942,1106
7792,3019,81706.2,3019,375,1187,488,526,186,2431,577,11,2887,2323,564
4992,1714,167776.28,1714,160,335,257,406,218,1714,0,0,1618,1575,43
16858,6686,98917.67,6686,1339,1282,948,1211,464,6116,521,49,6439,5619,820
5393,2303,54740.86,2303,702,585,565,272,40,1188,1115,0,2211,1161,1050
6372,2856,67610.23,2856,235,1337,693,289,83,1746,1099,11,2809,2130,679
5523,1756,127924.77,1756,0,200,1282,149,32,1713,43,0,1577,1533,44
2461,868,129945.6,868,813,24,3,3,10,486,367,15,834,607,227
1814,628,100963.15,628,393,121,21,32,0,452,171,5,615,502,113
2174,1222,49276.77,1222,618,259,77,53,78,5,1217,0,1141,331,810
4431,2140,70889.49,2140,106,606,434,202,134,811,1328,1,2003,1292,711
4781,1653,71475.96,1653,89,828,233,183,97,1280,373,0,1613,1044,569
7837,2527,105693.98,2527,94,216,61,499,617,2332,192,3,2383,2231,152
6176,2230,125000,2230,10,118,202,666,287,1849,141,240,1965,1641,324
4461,1691,83944.74,1691,583,406,159,127,83,761,923,7,1605,907,698
10612,6778,49120.26,6778,636,1859,814,537,468,103,6672,3,5974,2167,3807
3259,1297,68792.76,1297,545,656,28,25,24,1151,146,0,1253,834,419
1128,624,39684.59,624,223,73,50,117,23,0,624,0,562,186,376
3684,1444,108137.83,1444,14,830,517,44,12,1419,25,0,1405,1285,120
1026,389,78488.76,389,79,138,49,78,30,314,25,50,390,347,43
24665,8119,122510.32,8119,0,13,0,24,176,7313,806,0,7344,6321,1023
6136,1812,77917.56,1812,41,1268,358,72,10,1579,233,0,1685,1252,433
6444,3460,53527.56,3460,1129,1154,495,273,68,314,3137,9,3224,1066,2158
3213,1403,62868.04,1403,427,663,143,72,35,1102,301,0,1305,905,400
7866,2571,151264.8,2571,0,16,31,964,783,2489,82,0,2366,2255,111
305,109,69514.4,109,0,22,21,39,11,109,0,0,106,86,10
5069,1435,58410.5,1435,129,1039,122,80,6,587,848,0,1312,851,461
5359,1516,73212.98,1516,95,282,308,493,127,950,566,0,1442,898,544
7676,3208,52730.86,3208,728,1168,294,414,102,1596,1612,0,2994,1412,1582
6332,2614,67482.27,2614,372,559,281,717,212,2114,487,13,2458,1739,719
4454,1780,62916.51,1780,606,427,146,237,62,1515,257,8,1645,1280,365
8487,3939,39321.06,3939,421,1287,375,691,388,2052,1877,10,3634,1614,2020
2094,1177,41773.05,1177,801,241,47,60,3,10,1167,0,1124,160,964
2678,1128,53762.89,1128,401,278,45,72,29,548,580,0,1028,252,776
2873,1220,77288.83,1220,238,673,141,84,25,997,218,5,1220,947,273
2480,1371,36079.86,1371,753,215,218,84,56,21,1350,0,1296,298,998
6475,2495,74461.09,2495,368,722,484,354,159,2268,74,153,2365,2190,175
4061,1548,111744.23,1548,266,807,333,79,9,1467,81,0,1449,1404,45
5826,1460,114148.89,1460,0,10,0,20,868,1450,10,0,1398,1351,47
